,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,receiverIntentionDict,revTargetDict,barrierDict,recTraj,recActSeq,sigTraj,sigActSeq,trialStrategy,predSignalNoActionUtility
0,"(4, 0)","(4, 7)",red circle,"['triangle', 'circle', 'red', 'green']","{(5, 1): 'green circle', (0, 9): 'red triangle', (2, 8): 'red circle'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['B2'], 'flipped': []}","{'triangle': 'red triangle', 'circle': 'red circle', 'red': 'red triangle', 'green': 'green circle'}","{'green circle': (5, 1), 'red triangle': (0, 9), 'red circle': (2, 8)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green circle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (3, 1), (4, 1), (5, 1)], 'red triangle': [(4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9), (0, 9)], 'red circle': [(4, 7), (3, 7), (2, 7), (2, 8)]}","{'green circle': ['down', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right'], 'red triangle': ['up', 'up', 'left', 'left', 'left', 'left'], 'red circle': ['left', 'left', 'up']}","{'green circle': [(4, 0), (5, 0), (5, 1)], 'red triangle': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)], 'red circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8)]}","{'green circle': ['right', 'up'], 'red triangle': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'red circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}",triangle,circle
4,"(4, 0)","(4, 7)",purple triangle,"['purple', 'green', 'red', 'square', 'triangle', 'circle']","{(1, 2): 'green circle', (5, 0): 'red circle', (0, 5): 'purple square', (8, 9): 'red square', (7, 3): 'purple triangle'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'purple': 'purple square', 'green': 'green circle', 'red': 'red square', 'square': 'purple square', 'triangle': 'purple triangle', 'circle': 'green circle'}","{'green circle': (1, 2), 'red circle': (5, 0), 'purple square': (0, 5), 'red square': (8, 9), 'purple triangle': (7, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green circle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)], 'red circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0)], 'purple square': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6), (0, 5)], 'red square': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 8), (8, 9)], 'purple triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'green circle': ['left', 'left', 'left', 'down', 'down', 'down', 'down', 'down'], 'red circle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right'], 'purple square': ['left', 'left', 'left', 'left', 'down', 'down'], 'red square': ['right', 'right', 'right', 'right', 'up', 'up'], 'purple triangle': ['down', 'left', 'left', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right']}","{'green circle': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2)], 'red circle': [(4, 0), (5, 0)], 'purple square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (1, 5), (0, 5)], 'red square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'green circle': ['left', 'left', 'left', 'up', 'up'], 'red circle': ['right'], 'purple square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'left', 'left'], 'red square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'purple triangle': ['up', 'up', 'up', 'right', 'right', 'right']}",do,do
1,"(4, 0)","(4, 7)",purple circle,"['green', 'purple', 'circle', 'triangle']","{(6, 1): 'purple triangle', (5, 9): 'green circle', (1, 9): 'purple circle'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['B2'], 'flipped': []}","{'green': 'green circle', 'purple': 'purple circle', 'circle': 'purple circle', 'triangle': 'purple triangle'}","{'purple triangle': (6, 1), 'green circle': (5, 9), 'purple circle': (1, 9)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1)], 'green circle': [(4, 7), (5, 7), (5, 8), (5, 9)], 'purple circle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 9)]}","{'purple triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right'], 'green circle': ['right', 'up', 'up'], 'purple circle': ['left', 'left', 'left', 'up', 'up']}","{'purple triangle': [(4, 0), (5, 0), (6, 0), (6, 1)], 'green circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9)], 'purple circle': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9)]}","{'purple triangle': ['right', 'right', 'up'], 'green circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'purple circle': ['left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}",green,purple
5,"(4, 0)","(4, 7)",purple triangle,"['purple', 'green', 'red', 'square', 'triangle', 'circle']","{(1, 2): 'green circle', (5, 0): 'red circle', (0, 5): 'purple square', (8, 9): 'red square', (7, 3): 'purple triangle'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'purple': 'purple square', 'green': 'green circle', 'red': 'red square', 'square': 'purple square', 'triangle': 'purple triangle', 'circle': 'green circle'}","{'green circle': (1, 2), 'red circle': (5, 0), 'purple square': (0, 5), 'red square': (8, 9), 'purple triangle': (7, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green circle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)], 'red circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0)], 'purple square': [(4, 7), (4, 6), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5)], 'red square': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 8), (8, 9)], 'purple triangle': [(4, 7), (5, 7), (6, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3)]}","{'green circle': ['left', 'left', 'left', 'down', 'down', 'down', 'down', 'down'], 'red circle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'down', 'down', 'right', 'right', 'right'], 'purple square': ['down', 'down', 'left', 'left', 'left', 'left'], 'red square': ['right', 'right', 'right', 'right', 'up', 'up'], 'purple triangle': ['right', 'right', 'right', 'down', 'down', 'down', 'down']}","{'green circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (1, 2)], 'red circle': [(4, 0), (5, 0)], 'purple square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (1, 2), (0, 2), (0, 3), (0, 4), (0, 5)], 'red square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'purple triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'green circle': ['up', 'up', 'left', 'left', 'left'], 'red circle': ['right'], 'purple square': ['up', 'up', 'left', 'left', 'left', 'left', 'up', 'up', 'up'], 'red square': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'purple triangle': ['left', 'left', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right']}",square,triangle
2,"(4, 0)","(4, 7)",green square,"['green', 'purple', 'square', 'circle', 'triangle']","{(5, 9): 'green square', (0, 6): 'green circle', (1, 5): 'green triangle', (1, 9): 'purple square'}",5,R,"{'receiver': ['A1', 'A2', 'A3', 'B1'], 'signaler': [], 'flipped': []}","{'green': 'green square', 'purple': 'purple square', 'square': 'green square', 'circle': 'green circle', 'triangle': 'green triangle'}","{'green square': (5, 9), 'green circle': (0, 6), 'green triangle': (1, 5), 'purple square': (1, 9)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green square': [(4, 7), (5, 7), (5, 8), (5, 9)], 'green circle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6)], 'green triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 6), (1, 5)], 'purple square': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 9)]}","{'green square': ['right', 'up', 'up'], 'green circle': ['left', 'left', 'left', 'left', 'down'], 'green triangle': ['left', 'left', 'left', 'down', 'down'], 'purple square': ['left', 'left', 'left', 'up', 'up']}","{'green square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9)], 'green circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5), (0, 6)], 'green triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5)], 'purple square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9)]}","{'green square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'green circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'up'], 'green triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left'], 'purple square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'up', 'up', 'up', 'up']}",circle,square
6,"(4, 0)","(4, 7)",green triangle,"['green', 'red', 'purple', 'triangle', 'circle', 'square']","{(3, 0): 'red square', (4, 6): 'green triangle', (3, 9): 'green circle', (0, 7): 'purple circle', (7, 3): 'purple triangle'}",5,R,"{'receiver': ['A1', 'A2', 'B2'], 'signaler': ['C3'], 'flipped': ['B1']}","{'green': 'green circle', 'red': 'red square', 'purple': 'purple circle', 'triangle': 'green triangle', 'circle': 'green circle', 'square': 'red square'}","{'red square': (3, 0), 'green triangle': (4, 6), 'green circle': (3, 9), 'purple circle': (0, 7), 'purple triangle': (7, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'red square': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0)], 'green triangle': [(4, 7), (4, 6)], 'green circle': [(4, 7), (3, 7), (3, 8), (3, 9)], 'purple circle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7)], 'purple triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'red square': ['down', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'right'], 'green triangle': ['down'], 'green circle': ['left', 'up', 'up'], 'purple circle': ['left', 'left', 'left', 'left'], 'purple triangle': ['down', 'left', 'left', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right']}","{'red square': [(4, 0), (3, 0)], 'green triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (3, 6), (4, 6)], 'green circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9)], 'purple circle': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'red square': ['left'], 'green triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'right', 'right'], 'green circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right'], 'purple circle': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple triangle': ['up', 'up', 'up', 'right', 'right', 'right']}",triangle,triangle
3,"(4, 0)","(4, 7)",purple triangle,"['purple', 'green', 'triangle', 'square', 'circle']","{(8, 7): 'purple triangle', (3, 7): 'purple square', (4, 8): 'purple circle', (3, 8): 'green triangle'}",5,S,"{'receiver': ['A1', 'A2', 'A3', 'B1'], 'signaler': [], 'flipped': []}","{'purple': 'purple triangle', 'green': 'green triangle', 'triangle': 'purple triangle', 'square': 'purple square', 'circle': 'purple circle'}","{'purple triangle': (8, 7), 'purple square': (3, 7), 'purple circle': (4, 8), 'green triangle': (3, 8)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'purple square': [(4, 7), (3, 7)], 'purple circle': [(4, 7), (4, 8)], 'green triangle': [(4, 7), (4, 8), (3, 8)]}","{'purple triangle': ['right', 'right', 'right', 'right'], 'purple square': ['left'], 'purple circle': ['up'], 'green triangle': ['up', 'left']}","{'purple triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'purple square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7)], 'purple circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8)], 'green triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8)]}","{'purple triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'purple square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right'], 'purple circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'green triangle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right']}",triangle,triangle
8,"(4, 0)","(4, 7)",purple circle,"['circle', 'triangle', 'square', 'purple', 'red', 'green']","{(1, 9): 'purple circle', (2, 5): 'red circle', (5, 6): 'green circle', (1, 6): 'purple square', (4, 3): 'purple triangle'}",5,R,"{'receiver': ['A1', 'A2', 'A3', 'B1'], 'signaler': [], 'flipped': ['C1']}","{'circle': 'purple circle', 'triangle': 'purple triangle', 'square': 'purple square', 'purple': 'purple circle', 'red': 'red circle', 'green': 'green circle'}","{'purple circle': (1, 9), 'red circle': (2, 5), 'green circle': (5, 6), 'purple square': (1, 6), 'purple triangle': (4, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'purple circle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 9)], 'red circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5)], 'green circle': [(4, 7), (4, 6), (5, 6)], 'purple square': [(4, 7), (4, 6), (3, 6), (2, 6), (1, 6)], 'purple triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3)]}","{'purple circle': ['left', 'left', 'left', 'up', 'up'], 'red circle': ['left', 'left', 'down', 'down'], 'green circle': ['down', 'right'], 'purple square': ['down', 'left', 'left', 'left'], 'purple triangle': ['down', 'left', 'left', 'down', 'down', 'down', 'right', 'right']}","{'purple circle': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9)], 'red circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5)], 'green circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)], 'purple square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (1, 6)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (4, 3)]}","{'purple circle': ['left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'red circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left'], 'green circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'purple square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'up'], 'purple triangle': ['up', 'up', 'up']}",green,circle
7,"(4, 0)","(4, 7)",green triangle,"['green', 'red', 'purple', 'triangle', 'circle', 'square']","{(3, 0): 'red square', (4, 6): 'green triangle', (3, 9): 'green circle', (0, 7): 'purple circle', (7, 3): 'purple triangle'}",5,S,"{'receiver': ['A1', 'A2', 'B2'], 'signaler': ['C3'], 'flipped': ['B1']}","{'green': 'green triangle', 'red': 'red square', 'purple': 'purple triangle', 'triangle': 'purple triangle', 'circle': 'purple circle', 'square': 'red square'}","{'red square': (3, 0), 'green triangle': (4, 6), 'green circle': (3, 9), 'purple circle': (0, 7), 'purple triangle': (7, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'red square': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0)], 'green triangle': [(4, 7), (4, 6)], 'green circle': [(4, 7), (3, 7), (3, 8), (3, 9)], 'purple circle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7)], 'purple triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'red square': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'down', 'down', 'right'], 'green triangle': ['down'], 'green circle': ['left', 'up', 'up'], 'purple circle': ['left', 'left', 'left', 'left'], 'purple triangle': ['down', 'down', 'down', 'down', 'right', 'right', 'right']}","{'red square': [(4, 0), (3, 0)], 'green triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6)], 'green circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9)], 'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (1, 7), (0, 7)], 'purple triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'red square': ['left'], 'green triangle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'green circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right'], 'purple circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'left', 'left'], 'purple triangle': ['left', 'left', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right']}",ambiguous,green
9,"(4, 0)","(4, 7)",purple circle,"['circle', 'triangle', 'square', 'purple', 'red', 'green']","{(1, 9): 'purple circle', (2, 5): 'red circle', (5, 6): 'green circle', (1, 6): 'purple square', (4, 3): 'purple triangle'}",5,S,"{'receiver': ['A1', 'A2', 'A3', 'B1'], 'signaler': [], 'flipped': ['C1']}","{'circle': 'purple circle', 'triangle': 'purple triangle', 'square': 'purple square', 'purple': 'purple circle', 'red': 'red circle', 'green': 'green circle'}","{'purple circle': (1, 9), 'red circle': (2, 5), 'green circle': (5, 6), 'purple square': (1, 6), 'purple triangle': (4, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple circle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 9)], 'red circle': [(4, 7), (4, 6), (4, 5), (3, 5), (2, 5)], 'green circle': [(4, 7), (4, 6), (5, 6)], 'purple square': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 6)], 'purple triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3)]}","{'purple circle': ['left', 'left', 'left', 'up', 'up'], 'red circle': ['down', 'down', 'left', 'left'], 'green circle': ['down', 'right'], 'purple square': ['left', 'left', 'left', 'down'], 'purple triangle': ['down', 'down', 'down', 'down']}","{'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9)], 'red circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5)], 'green circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)], 'purple square': [(4, 0), (3, 0), (3, 1), (3, 2), (2, 2), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3)]}","{'purple circle': ['up', 'up', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'red circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up'], 'green circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'purple square': ['left', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up'], 'purple triangle': ['up', 'up', 'left', 'left', 'up', 'right', 'right']}",ambiguous,circle
